budget_tokens,dataset,seed,method,target_loss,first_hit_step,first_hit_tokens,first_hit_ppl,total_minutes
100000000,dclm,3407,full,4.90,900,29491200,133.155,24.557
100000000,dclm,3407,full,4.70,1200,39321600,109.136,24.557
100000000,dclm,3407,full,4.55,1500,49152000,94.565,24.557
100000000,dclm,3407,full,4.45,1800,58982400,85.591,24.557
100000000,dclm,3407,full,4.35,2250,73728000,76.926,24.557
100000000,dclm,3407,full,4.30,2550,83558400,73.480,24.557
100000000,dclm,3407,no_role_depth,4.90,950,31129600,130.508,21.456
100000000,dclm,3407,no_role_depth,4.70,1250,40960000,107.048,21.456
100000000,dclm,3407,no_role_depth,4.55,1550,50790400,93.731,21.456
100000000,dclm,3407,no_role_depth,4.45,1850,60620800,85.057,21.456
100000000,dclm,3407,no_role_depth,4.35,2300,75366400,77.082,21.456
100000000,dclm,3407,no_role_depth,4.30,2600,85196800,73.685,21.456
100000000,dclm,3407,role_depth_v2,4.90,900,29491200,133.694,20.815
100000000,dclm,3407,role_depth_v2,4.70,1200,39321600,109.538,20.815
100000000,dclm,3407,role_depth_v2,4.55,1500,49152000,94.630,20.815
100000000,dclm,3407,role_depth_v2,4.45,1850,60620800,84.206,20.815
100000000,dclm,3407,role_depth_v2,4.35,2250,73728000,77.013,20.815
100000000,dclm,3407,role_depth_v2,4.30,2550,83558400,73.334,20.815
100000000,dclm,3407,role_depth_v3,4.90,950,31129600,130.772,24.324
100000000,dclm,3407,role_depth_v3,4.70,1250,40960000,107.411,24.324
100000000,dclm,3407,role_depth_v3,4.55,1550,50790400,93.832,24.324
100000000,dclm,3407,role_depth_v3,4.45,1850,60620800,85.208,24.324
100000000,dclm,3407,role_depth_v3,4.35,2300,75366400,77.195,24.324
100000000,dclm,3407,role_depth_v3,4.30,2650,86835200,73.514,24.324
100000000,dclm,3407,role_depth_v4,4.90,950,31129600,129.524,21.515
100000000,dclm,3407,role_depth_v4,4.70,1200,39321600,109.287,21.515
100000000,dclm,3407,role_depth_v4,4.55,1550,50790400,92.999,21.515
100000000,dclm,3407,role_depth_v4,4.45,1850,60620800,84.266,21.515
100000000,dclm,3407,role_depth_v4,4.35,2250,73728000,77.162,21.515
100000000,dclm,3407,role_depth_v4,4.30,2550,83558400,73.554,21.515
100000000,fineweb_edu,1337,full,4.80,950,31129600,117.499,27.678
100000000,fineweb_edu,1337,full,4.60,1200,39321600,97.541,27.678
100000000,fineweb_edu,1337,full,4.40,1550,50790400,80.615,27.678
100000000,fineweb_edu,1337,full,4.30,1850,60620800,72.533,27.678
100000000,fineweb_edu,1337,full,4.20,2200,72089600,66.511,27.678
100000000,fineweb_edu,1337,full,4.10,2950,96665600,60.089,27.678
100000000,fineweb_edu,1337,no_role_depth,4.80,950,31129600,119.750,20.280
100000000,fineweb_edu,1337,no_role_depth,4.60,1250,40960000,97.116,20.280
100000000,fineweb_edu,1337,no_role_depth,4.40,1600,52428800,80.401,20.280
100000000,fineweb_edu,1337,no_role_depth,4.30,1900,62259200,72.532,20.280
100000000,fineweb_edu,1337,no_role_depth,4.20,2250,73728000,66.518,20.280
100000000,fineweb_edu,1337,no_role_depth,4.10,,,,20.280
100000000,fineweb_edu,1337,role_depth_v2,4.80,950,31129600,117.782,20.881
100000000,fineweb_edu,1337,role_depth_v2,4.60,1200,39321600,97.957,20.881
100000000,fineweb_edu,1337,role_depth_v2,4.40,1550,50790400,80.760,20.881
100000000,fineweb_edu,1337,role_depth_v2,4.30,1800,58982400,73.638,20.881
100000000,fineweb_edu,1337,role_depth_v2,4.20,2200,72089600,66.433,20.881
100000000,fineweb_edu,1337,role_depth_v2,4.10,2900,95027200,60.198,20.881
100000000,fineweb_edu,1337,role_depth_v3,4.80,950,31129600,118.896,21.158
100000000,fineweb_edu,1337,role_depth_v3,4.60,1200,39321600,98.777,21.158
100000000,fineweb_edu,1337,role_depth_v3,4.40,1550,50790400,81.446,21.158
100000000,fineweb_edu,1337,role_depth_v3,4.30,1850,60620800,73.251,21.158
100000000,fineweb_edu,1337,role_depth_v3,4.20,2250,73728000,66.333,21.158
100000000,fineweb_edu,1337,role_depth_v3,4.10,,,,21.158
100000000,fineweb_edu,1337,role_depth_v4,4.80,950,31129600,117.704,25.070
100000000,fineweb_edu,1337,role_depth_v4,4.60,1200,39321600,97.652,25.070
100000000,fineweb_edu,1337,role_depth_v4,4.40,1550,50790400,80.780,25.070
100000000,fineweb_edu,1337,role_depth_v4,4.30,1850,60620800,72.621,25.070
100000000,fineweb_edu,1337,role_depth_v4,4.20,2200,72089600,66.556,25.070
100000000,fineweb_edu,1337,role_depth_v4,4.10,2950,96665600,60.218,25.070
100000000,fineweb_edu,2027,full,4.80,900,29491200,119.769,22.464
100000000,fineweb_edu,2027,full,4.60,1150,37683200,98.235,22.464
100000000,fineweb_edu,2027,full,4.40,1500,49152000,80.631,22.464
100000000,fineweb_edu,2027,full,4.30,1750,57344000,73.419,22.464
100000000,fineweb_edu,2027,full,4.20,2150,70451200,66.008,22.464
100000000,fineweb_edu,2027,full,4.10,2750,90112000,60.153,22.464
100000000,fineweb_edu,2027,no_role_depth,4.80,950,31129600,116.561,22.669
100000000,fineweb_edu,2027,no_role_depth,4.60,1150,37683200,99.198,22.669
100000000,fineweb_edu,2027,no_role_depth,4.40,1500,49152000,81.393,22.669
100000000,fineweb_edu,2027,no_role_depth,4.30,1800,58982400,72.870,22.669
100000000,fineweb_edu,2027,no_role_depth,4.20,2200,72089600,66.008,22.669
100000000,fineweb_edu,2027,no_role_depth,4.10,2850,93388800,60.324,22.669
100000000,fineweb_edu,2027,role_depth_v2,4.80,900,29491200,119.783,20.727
100000000,fineweb_edu,2027,role_depth_v2,4.60,1150,37683200,98.086,20.727
100000000,fineweb_edu,2027,role_depth_v2,4.40,1500,49152000,80.565,20.727
100000000,fineweb_edu,2027,role_depth_v2,4.30,1750,57344000,73.370,20.727
