update,loss_tokens,proposal_accepted,functional_refresh,ledger_measurement,coefficient_abs_deviation_mean,coefficient_abs_deviation_max,budget_residual,beta2,fixed_activation_congruence,response_departure_energy
2548,667942912,False,False,gradient_surrogate,0.0,0.0,3.435253941463435e-16,0.95,1.0,0.0
2549,668205056,False,False,gradient_surrogate,0.0,0.0,1.0317627956577874e-15,0.95,1.0,0.0
2550,668467200,False,False,gradient_surrogate,0.0,0.0,3.441419835919042e-16,0.95,1.0,0.0
2551,668729344,False,False,gradient_surrogate,0.0,0.0,6.8819487938703e-16,0.95,1.0,0.0
2552,668991488,False,False,gradient_surrogate,0.0,0.0,1.7142249018538966e-16,0.95,1.0,0.0
2553,669253632,False,True,functional,0.0,0.0,6.882716885009832e-16,0.95,1.0,0.0
2554,669515776,False,False,gradient_surrogate,0.0,0.0,0.0,0.95,1.0,0.0
2555,669777920,False,False,gradient_surrogate,0.0,0.0,8.602442905426444e-16,0.95,1.0,0.0
2556,670040064,False,False,gradient_surrogate,0.0,0.0,1.7209819268087962e-16,0.95,1.0,0.0
2557,670302208,False,False,gradient_surrogate,0.0,0.0,3.4395567170791917e-16,0.95,1.0,0.0
2558,670564352,False,False,gradient_surrogate,0.0,0.0,0.0,0.95,1.0,0.0
2559,670826496,False,False,gradient_surrogate,0.0,0.0,1.204383438484553e-15,0.95,1.0,0.0
2560,671088640,False,False,gradient_surrogate,0.0,0.0,0.0,0.95,1.0,0.0
2561,671350784,False,True,functional,0.0,0.0,6.863065581062107e-16,0.95,1.0,0.0
2562,671612928,False,False,gradient_surrogate,0.0,0.0,6.882388101352313e-16,0.95,1.0,0.0
2563,671875072,False,False,gradient_surrogate,0.0,0.0,0.0,0.95,1.0,0.0
2564,672137216,False,False,gradient_surrogate,0.0,0.0,3.4435323853801564e-16,0.95,1.0,0.0
2565,672399360,False,False,gradient_surrogate,0.0,0.0,8.607140414530717e-16,0.95,1.0,0.0
2566,672661504,False,False,gradient_surrogate,0.0,0.0,3.4427743110169416e-16,0.95,1.0,0.0
2567,672923648,False,False,gradient_surrogate,0.0,0.0,3.390773960000604e-16,0.95,1.0,0.0
2568,673185792,False,False,gradient_surrogate,0.0,0.0,0.0,0.95,1.0,0.0
2569,673447936,False,True,functional,0.0,0.0,0.0,0.95,1.0,0.0
2570,673710080,False,False,gradient_surrogate,0.0,0.0,3.4325878447035056e-16,0.95,1.0,0.0
2571,673972224,False,False,gradient_surrogate,0.0,0.0,0.0,0.95,1.0,0.0
2572,674234368,False,False,gradient_surrogate,0.0,0.0,0.0,0.95,1.0,0.0
2573,674496512,False,False,gradient_surrogate,0.0,0.0,6.867568445711742e-16,0.95,1.0,0.0
2574,674758656,False,False,gradient_surrogate,0.0,0.0,3.4336085765293663e-16,0.95,1.0,0.0
2575,675020800,True,False,gradient_surrogate,0.5615333914756775,3.836561918258667,8.58825652329017e-16,0.95,1.0,0.0
2576,675282944,False,False,gradient_surrogate,0.0,0.0,6.87725659450797e-16,0.95,1.0,0.0
2577,675545088,False,True,functional,0.0,0.0,5.157715823943639e-16,0.95,1.0,0.0
2578,675807232,False,False,gradient_surrogate,0.0,0.0,8.598438851169324e-16,0.95,1.0,0.0
