update,loss_tokens,muon_train_loss,tiller_train_loss,train_loss_gap_tiller_minus_muon,lr,muon_step_seconds,tiller_step_seconds
24,6291456,11.5657958984375,11.217362403869629,-0.3484334945678711,3.6e-05,4.549334081821144,4.6760682091116905
25,6553600,11.488765716552734,11.100115776062012,-0.38864994049072266,3.75e-05,4.54845929145813,4.730887623503804
26,6815744,11.403018951416016,10.969404220581055,-0.43361473083496094,3.9e-05,4.550812889821827,4.679263390600681
27,7077888,11.297979354858398,10.81758975982666,-0.4803895950317383,4.0499999999999995e-05,4.5508216535672545,4.675554991699755
28,7340032,11.19831657409668,10.677031517028809,-0.5212850570678711,4.2e-05,4.550203334540129,4.672041912563145
29,7602176,11.131434440612793,10.578865051269531,-0.5525693893432617,4.35e-05,4.550439538434148,4.677219415083528
30,7864320,11.024746894836426,10.444849967956543,-0.5798969268798828,4.4999999999999996e-05,4.550349967554212,4.674132006242871
31,8126464,10.883544921875,10.256519317626953,-0.6270256042480469,4.65e-05,4.550309275276959,4.677778255194426
32,8388608,10.722888946533203,10.05576229095459,-0.6671266555786133,4.7999999999999994e-05,4.550498869270086,4.672497658059001
33,8650752,10.610737800598145,9.915830612182617,-0.6949071884155273,4.95e-05,4.55015105009079,4.728163032792509
34,8912896,10.511512756347656,9.833571434020996,-0.6779413223266602,5.099999999999999e-05,4.551555223762989,4.673228770494461
35,9175040,10.429678916931152,9.7260103225708,-0.7036685943603516,5.2499999999999995e-05,4.551313631236553,4.680175594985485
36,9437184,10.240189552307129,9.52349853515625,-0.7166910171508789,5.399999999999999e-05,4.551109640859067,4.679361655376852
37,9699328,10.095815658569336,9.3548583984375,-0.7409572601318359,5.5499999999999994e-05,4.550841820426285,4.671623680740595
38,9961472,9.977845191955566,9.212676048278809,-0.7651691436767578,5.6999999999999996e-05,4.551106531172991,4.6796974847093225
39,10223616,9.921366691589355,9.159677505493164,-0.7616891860961914,5.849999999999999e-05,4.550122672691941,4.676468522287905
40,10485760,9.724193572998047,8.96978759765625,-0.7544059753417969,5.9999999999999995e-05,4.667503134347498,4.680882095359266
41,10747904,9.646459579467773,8.911438941955566,-0.735020637512207,6.149999999999999e-05,4.5468532126396894,4.729286155663431
42,11010048,9.460779190063477,8.654058456420898,-0.8067207336425781,6.299999999999999e-05,4.548935863189399,4.682047833688557
43,11272192,9.38607406616211,8.66160774230957,-0.7244663238525391,6.45e-05,4.549397147260606,4.673712925054133
44,11534336,9.327519416809082,8.618321418762207,-0.709197998046875,6.599999999999999e-05,4.550092450343072,4.673321317881346
45,11796480,9.162271499633789,8.460153579711914,-0.702117919921875,6.749999999999999e-05,4.550010117702186,4.674063690006733
46,12058624,8.893440246582031,8.190715789794922,-0.7027244567871094,6.9e-05,4.550035870634019,4.6716192699968815
47,12320768,8.83629035949707,8.155617713928223,-0.6806726455688477,7.049999999999999e-05,4.549146685749292,4.672605249099433
48,12582912,8.739421844482422,8.070402145385742,-0.6690196990966797,7.2e-05,4.550161004066467,5.769005816429853
49,12845056,8.702071189880371,8.07804012298584,-0.6240310668945312,7.35e-05,4.549322656355798,5.48611609544605
50,13107200,8.522011756896973,7.9100542068481445,-0.6119575500488281,7.5e-05,4.548707345500588,4.6835703095421195
51,13369344,8.412656784057617,7.81499719619751,-0.5976595878601074,7.65e-05,4.548749360255897,4.681040239520371
52,13631488,8.324041366577148,7.773186683654785,-0.5508546829223633,7.8e-05,4.548379521816969,4.680098718032241
53,13893632,8.222280502319336,7.695784568786621,-0.5264959335327148,7.949999999999998e-05,4.547244542278349,4.676059948280454
54,14155776,8.135883331298828,7.632889270782471,-0.5029940605163574,8.099999999999999e-05,4.547911679372191,4.675143943168223
55,14417920,8.02157974243164,7.539318084716797,-0.48226165771484375,8.249999999999999e-05,4.548889845609665,4.6743212742730975
56,14680064,7.974089622497559,7.55477237701416,-0.41931724548339844,8.4e-05,4.548964989371598,4.678253460675478
57,14942208,7.863268852233887,7.467220306396484,-0.39604854583740234,8.549999999999999e-05,4.548095930367708,4.732093754224479
58,15204352,7.795153617858887,7.44846773147583,-0.34668588638305664,8.7e-05,4.546593981795013,4.6733803022652864
59,15466496,7.707307815551758,7.3797807693481445,-0.3275270462036133,8.849999999999998e-05,4.5464389296248555,4.673727343790233
60,15728640,7.64119291305542,7.347306251525879,-0.293886661529541,8.999999999999999e-05,4.5478893760591745,4.674465959891677
61,15990784,7.519644737243652,7.247531890869141,-0.2721128463745117,9.149999999999999e-05,4.547418394125998,4.6770343137905
62,16252928,7.598726272583008,7.363391876220703,-0.2353343963623047,9.3e-05,4.548946428112686,4.673344754613936
63,16515072,7.5437445640563965,7.327131271362305,-0.2166132926940918,9.449999999999998e-05,4.549697762355208,4.673371437005699
64,16777216,7.561788082122803,7.358663082122803,-0.203125,9.599999999999999e-05,4.550031038932502,4.683866350911558
