update,loss_tokens,muon_train_loss,tiller_train_loss,train_loss_gap_tiller_minus_muon,muon_train_mean_last_100,tiller_train_mean_last_100,muon_validation_loss,tiller_validation_loss,validation_loss_gap_tiller_minus_muon,muon_validation_ppl,tiller_validation_ppl,validation_ppl_gap_tiller_minus_muon
6600,1730150400,2.944915771484375,2.9400861263275146,-0.0048296451568603516,2.9574632358551027,2.954981963634491,2.8113563619554043,2.8026354908943176,-0.008720871061086655,16.632462565631954,16.48804364884174,-0.14441891679021523
6700,1756364800,2.998917579650879,2.9943761825561523,-0.0045413970947265625,2.95492871761322,2.9525644040107726,2.807297121733427,2.800257086753845,-0.007040034979581833,16.565084249498916,16.448875015443083,-0.11620923405583383
6800,1782579200,2.938023328781128,2.9359700679779053,-0.0020532608032226562,2.9695746731758117,2.9672892451286317,2.808717977255583,2.8058718740940094,-0.00284610316157341,16.58863756989996,16.541491718868546,-0.04714585103141289
6900,1808793600,2.913067579269409,2.9101881980895996,-0.0028793811798095703,2.955538642406464,2.953624129295349,2.805916130542755,2.8029509745538235,-0.002965155988931656,16.542223802748577,16.493246177803453,-0.04897762494512392
7000,1835008000,2.9134135246276855,2.9145264625549316,0.0011129379272460938,2.93909925699234,2.937381234169006,2.808368928730488,2.8034048713743687,-0.004964057356119156,16.58284834084256,16.500734109049564,-0.08211423179299615
7100,1861222400,2.962646722793579,2.962394952774048,-0.00025177001953125,2.93087735414505,2.9291489934921264,2.807696856558323,2.8033047057688236,-0.004392150789499283,16.5717072141774,16.499081385799986,-0.07262582837741505
7200,1887436800,2.8532962799072266,2.8495097160339355,-0.0037865638732910156,2.8918828916549684,2.889941842556,2.8118129782378674,2.8104550279676914,-0.0013579502701759338,16.640058953041983,16.61747791592369,-0.022581037118293068
7300,1913651200,2.8487796783447266,2.8465497493743896,-0.002229928970336914,2.8540422987937926,2.852330787181854,2.813402406871319,2.809465564787388,-0.003936842083930969,16.666528169096825,16.601043665260153,-0.06548450383667159
7400,1939865600,2.85906982421875,2.8586103916168213,-0.00045943260192871094,2.883379204273224,2.8816473197937014,2.8016190230846405,2.7967094369232655,-0.004909586161375046,16.471292598122332,16.390623555767025,-0.08066904235530714
7500,1966080000,2.8855690956115723,2.8875536918640137,0.0019845962524414062,2.905049901008606,2.904212064743042,2.789035204797983,2.7870629280805588,-0.0019722767174243927,16.265319526992474,16.233271430234048,-0.03204809675842668
