budget_tokens,dataset,seed,method,target_loss,first_hit_step,first_hit_tokens,first_hit_ppl,hit_status,target_hit_minutes,total_minutes,mean_seconds_per_step,tokens_per_second,final_val_loss,slurm_job_id,slurm_restart_count,slurm_node
100000000,fineweb_edu,1337,role_depth_v2,4.20,2200,72089600,66.433,hit,14.170,20.881,0.386446,84793.271,4.087605,676426,0,seo-compute-01
100000000,fineweb_edu,1337,role_depth_v2,4.10,2900,95027200,60.198,hit,18.678,20.881,0.386446,84793.271,4.087605,676426,0,seo-compute-01
100000000,fineweb_edu,1337,role_depth_v3,4.80,950,31129600,118.896,hit,6.195,21.158,0.391285,83744.553,4.101543,707340,0,zabih-compute-01
100000000,fineweb_edu,1337,role_depth_v3,4.60,1200,39321600,98.777,hit,7.826,21.158,0.391285,83744.553,4.101543,707340,0,zabih-compute-01
100000000,fineweb_edu,1337,role_depth_v3,4.40,1550,50790400,81.446,hit,10.108,21.158,0.391285,83744.553,4.101543,707340,0,zabih-compute-01
100000000,fineweb_edu,1337,role_depth_v3,4.30,1850,60620800,73.251,hit,12.065,21.158,0.391285,83744.553,4.101543,707340,0,zabih-compute-01
100000000,fineweb_edu,1337,role_depth_v3,4.20,2250,73728000,66.333,hit,14.673,21.158,0.391285,83744.553,4.101543,707340,0,zabih-compute-01
100000000,fineweb_edu,1337,role_depth_v3,4.10,,,,not_hit,,21.158,0.391285,83744.553,4.101543,707340,0,zabih-compute-01
100000000,fineweb_edu,1337,role_depth_v4,4.80,950,31129600,117.704,hit,7.350,25.070,0.464190,70591.800,4.092268,707589,0,damle-compute-01
100000000,fineweb_edu,1337,role_depth_v4,4.60,1200,39321600,97.652,hit,9.284,25.070,0.464190,70591.800,4.092268,707589,0,damle-compute-01
100000000,fineweb_edu,1337,role_depth_v4,4.40,1550,50790400,80.780,hit,11.992,25.070,0.464190,70591.800,4.092268,707589,0,damle-compute-01
100000000,fineweb_edu,1337,role_depth_v4,4.30,1850,60620800,72.621,hit,14.313,25.070,0.464190,70591.800,4.092268,707589,0,damle-compute-01
100000000,fineweb_edu,1337,role_depth_v4,4.20,2200,72089600,66.556,hit,17.020,25.070,0.464190,70591.800,4.092268,707589,0,damle-compute-01
100000000,fineweb_edu,1337,role_depth_v4,4.10,2950,96665600,60.218,hit,22.823,25.070,0.464190,70591.800,4.092268,707589,0,damle-compute-01
100000000,fineweb_edu,1337,role_depth_v5,4.80,950,31129600,117.617,hit,7.342,24.928,0.463681,70669.328,4.087169,749317,0,badfellow
100000000,fineweb_edu,1337,role_depth_v5,4.60,1200,39321600,96.513,hit,9.274,24.928,0.463681,70669.328,4.087169,749317,0,badfellow
100000000,fineweb_edu,1337,role_depth_v5,4.40,1550,50790400,80.302,hit,11.978,24.928,0.463681,70669.328,4.087169,749317,0,badfellow
100000000,fineweb_edu,1337,role_depth_v5,4.30,1800,58982400,73.557,hit,13.910,24.928,0.463681,70669.328,4.087169,749317,0,badfellow
100000000,fineweb_edu,1337,role_depth_v5,4.20,2200,72089600,66.303,hit,17.002,24.928,0.463681,70669.328,4.087169,749317,0,badfellow
100000000,fineweb_edu,1337,role_depth_v5,4.10,2900,95027200,60.162,hit,22.411,24.928,0.463681,70669.328,4.087169,749317,0,badfellow
100000000,fineweb_edu,1337,role_depth_v6,4.80,950,31129600,117.204,hit,7.434,25.132,0.469519,69790.509,4.090403,749332,1,damle-compute-01
100000000,fineweb_edu,1337,role_depth_v6,4.60,1200,39321600,96.692,hit,9.390,25.132,0.469519,69790.509,4.090403,749332,1,damle-compute-01
100000000,fineweb_edu,1337,role_depth_v6,4.40,1550,50790400,80.010,hit,12.129,25.132,0.469519,69790.509,4.090403,749332,1,damle-compute-01
100000000,fineweb_edu,1337,role_depth_v6,4.30,1800,58982400,73.428,hit,14.086,25.132,0.469519,69790.509,4.090403,749332,1,damle-compute-01
100000000,fineweb_edu,1337,role_depth_v6,4.20,2200,72089600,66.316,hit,17.216,25.132,0.469519,69790.509,4.090403,749332,1,damle-compute-01
100000000,fineweb_edu,1337,role_depth_v6,4.10,2950,96665600,60.145,hit,23.085,25.132,0.469519,69790.509,4.090403,749332,1,damle-compute-01
100000000,fineweb_edu,2027,full,4.80,900,29491200,119.769,hit,6.244,22.464,0.416287,78714.906,4.076160,,,
100000000,fineweb_edu,2027,full,4.60,1150,37683200,98.235,hit,7.979,22.464,0.416287,78714.906,4.076160,,,
100000000,fineweb_edu,2027,full,4.40,1500,49152000,80.631,hit,10.407,22.464,0.416287,78714.906,4.076160,,,
100000000,fineweb_edu,2027,full,4.30,1750,57344000,73.419,hit,12.142,22.464,0.416287,78714.906,4.076160,,,
100000000,fineweb_edu,2027,full,4.20,2150,70451200,66.008,hit,14.917,22.464,0.416287,78714.906,4.076160,,,
100000000,fineweb_edu,2027,full,4.10,2750,90112000,60.153,hit,19.080,22.464,0.416287,78714.906,4.076160,,,
100000000,fineweb_edu,2027,no_role_depth,4.80,950,31129600,116.561,hit,6.653,22.669,0.420187,77984.295,4.087354,567144,0,seo-compute-02
100000000,fineweb_edu,2027,no_role_depth,4.60,1150,37683200,99.198,hit,8.054,22.669,0.420187,77984.295,4.087354,567144,0,seo-compute-02
