budget_tokens,dataset,seed,target_loss,comparator,full_tokens,comparator_tokens,full_saves_tokens,full_saves_percent_vs_comparator,full_total_minutes,comparator_total_minutes
100000000,fineweb,1337,5.00,role_depth_v4,29491200,29491200,0,0.0,22.435,26.301
100000000,fineweb,1337,5.00,role_depth_v5,29491200,29491200,0,0.0,22.435,23.515
100000000,fineweb,1337,5.00,role_depth_v6,29491200,29491200,0,0.0,22.435,22.823
100000000,fineweb,1337,4.80,no_role_depth,37683200,39321600,1638400,0.041666666666666664,22.435,21.440
100000000,fineweb,1337,4.80,role_depth_v2,37683200,39321600,1638400,0.041666666666666664,22.435,24.864
100000000,fineweb,1337,4.80,role_depth_v3,37683200,39321600,1638400,0.041666666666666664,22.435,25.182
100000000,fineweb,1337,4.80,role_depth_v4,37683200,37683200,0,0.0,22.435,26.301
100000000,fineweb,1337,4.80,role_depth_v5,37683200,37683200,0,0.0,22.435,23.515
100000000,fineweb,1337,4.80,role_depth_v6,37683200,37683200,0,0.0,22.435,22.823
100000000,fineweb,1337,4.60,no_role_depth,50790400,52428800,1638400,0.03125,22.435,21.440
100000000,fineweb,1337,4.60,role_depth_v2,50790400,50790400,0,0.0,22.435,24.864
100000000,fineweb,1337,4.60,role_depth_v3,50790400,52428800,1638400,0.03125,22.435,25.182
100000000,fineweb,1337,4.60,role_depth_v4,50790400,50790400,0,0.0,22.435,26.301
100000000,fineweb,1337,4.60,role_depth_v5,50790400,50790400,0,0.0,22.435,23.515
100000000,fineweb,1337,4.60,role_depth_v6,50790400,50790400,0,0.0,22.435,22.823
100000000,fineweb,1337,4.50,no_role_depth,60620800,62259200,1638400,0.02631578947368421,22.435,21.440
100000000,fineweb,1337,4.50,role_depth_v2,60620800,60620800,0,0.0,22.435,24.864
100000000,fineweb,1337,4.50,role_depth_v3,60620800,62259200,1638400,0.02631578947368421,22.435,25.182
100000000,fineweb,1337,4.50,role_depth_v4,60620800,60620800,0,0.0,22.435,26.301
100000000,fineweb,1337,4.50,role_depth_v5,60620800,60620800,0,0.0,22.435,23.515
100000000,fineweb,1337,4.50,role_depth_v6,60620800,60620800,0,0.0,22.435,22.823
100000000,fineweb,1337,4.40,no_role_depth,73728000,75366400,1638400,0.021739130434782608,22.435,21.440
100000000,fineweb,1337,4.40,role_depth_v2,73728000,73728000,0,0.0,22.435,24.864
100000000,fineweb,1337,4.40,role_depth_v3,73728000,75366400,1638400,0.021739130434782608,22.435,25.182
100000000,fineweb,1337,4.40,role_depth_v4,73728000,73728000,0,0.0,22.435,26.301
100000000,fineweb,1337,4.40,role_depth_v5,73728000,73728000,0,0.0,22.435,23.515
100000000,fineweb,1337,4.40,role_depth_v6,73728000,73728000,0,0.0,22.435,22.823
100000000,fineweb,1337,4.35,no_role_depth,83558400,86835200,3276800,0.03773584905660377,22.435,21.440
100000000,fineweb,1337,4.35,role_depth_v2,83558400,83558400,0,0.0,22.435,24.864
100000000,fineweb,1337,4.35,role_depth_v3,83558400,86835200,3276800,0.03773584905660377,22.435,25.182
100000000,fineweb,1337,4.35,role_depth_v4,83558400,83558400,0,0.0,22.435,26.301
100000000,fineweb,1337,4.35,role_depth_v5,83558400,83558400,0,0.0,22.435,23.515
100000000,fineweb,1337,4.35,role_depth_v6,83558400,83558400,0,0.0,22.435,22.823
100000000,fineweb,2027,5.00,no_role_depth,31129600,32768000,1638400,0.05,27.847,23.559
100000000,fineweb,2027,5.00,role_depth_v2,31129600,31129600,0,0.0,27.847,21.601
100000000,fineweb,2027,5.00,role_depth_v3,31129600,31129600,0,0.0,27.847,25.692
100000000,fineweb,2027,5.00,role_depth_v4,31129600,31129600,0,0.0,27.847,24.979
100000000,fineweb,2027,5.00,role_depth_v5,31129600,31129600,0,0.0,27.847,25.837
100000000,fineweb,2027,5.00,role_depth_v6,31129600,31129600,0,0.0,27.847,24.840
100000000,fineweb,2027,4.80,no_role_depth,39321600,40960000,1638400,0.04,27.847,23.559
100000000,fineweb,2027,4.80,role_depth_v2,39321600,40960000,1638400,0.04,27.847,21.601
100000000,fineweb,2027,4.80,role_depth_v3,39321600,40960000,1638400,0.04,27.847,25.692
100000000,fineweb,2027,4.80,role_depth_v4,39321600,39321600,0,0.0,27.847,24.979
100000000,fineweb,2027,4.80,role_depth_v5,39321600,39321600,0,0.0,27.847,25.837
100000000,fineweb,2027,4.80,role_depth_v6,39321600,39321600,0,0.0,27.847,24.840
100000000,fineweb,2027,4.60,no_role_depth,52428800,55705600,3276800,0.058823529411764705,27.847,23.559
100000000,fineweb,2027,4.60,role_depth_v2,52428800,54067200,1638400,0.030303030303030304,27.847,21.601
100000000,fineweb,2027,4.60,role_depth_v3,52428800,54067200,1638400,0.030303030303030304,27.847,25.692
100000000,fineweb,2027,4.60,role_depth_v4,52428800,54067200,1638400,0.030303030303030304,27.847,24.979
100000000,fineweb,2027,4.60,role_depth_v5,52428800,54067200,1638400,0.030303030303030304,27.847,25.837
100000000,fineweb,2027,4.60,role_depth_v6,52428800,52428800,0,0.0,27.847,24.840
100000000,fineweb,2027,4.50,no_role_depth,63897600,65536000,1638400,0.025,27.847,23.559
100000000,fineweb,2027,4.50,role_depth_v2,63897600,63897600,0,0.0,27.847,21.601
100000000,fineweb,2027,4.50,role_depth_v3,63897600,65536000,1638400,0.025,27.847,25.692
100000000,fineweb,2027,4.50,role_depth_v4,63897600,63897600,0,0.0,27.847,24.979
100000000,fineweb,2027,4.50,role_depth_v5,63897600,63897600,0,0.0,27.847,25.837
100000000,fineweb,2027,4.50,role_depth_v6,63897600,63897600,0,0.0,27.847,24.840
100000000,fineweb,2027,4.40,no_role_depth,78643200,81920000,3276800,0.04,27.847,23.559
100000000,fineweb,2027,4.40,role_depth_v2,78643200,78643200,0,0.0,27.847,21.601
100000000,fineweb,2027,4.40,role_depth_v3,78643200,80281600,1638400,0.02040816326530612,27.847,25.692
