scope,phase,dataset,method,method_label,activation,optimizer,runs,early_stop_runs,steps,train_tokens_per_run,total_seconds_mean,total_seconds_std,total_seconds_min,total_seconds_max,total_minutes_mean,total_hours_mean,mean_seconds_per_step,tokens_per_second_mean
E2_m0_300m_c4_en,E2_m0_300m,c4_en,silu_lion,SiLU+Lion,silu,lion,3,0,9150,300000000,4322.999720857338,955.2416369514973,3220.248333076015,4895.378212789001,72.0499953476223,1.200833255793705,0.4555014071523792,74962.82334812351
E2_m0_300m_c4_en,E2_global_rational_optimizers_300m,c4_en,rlb_lion,RLB+Lion,rlb_fused_global_rational,lion,3,0,9150,300000000,4077.0374960441454,324.9553574230577,3701.8238861924037,4267.2984589280095,67.9506249340691,1.1325104155678183,0.42063159762202934,78275.2528190069
E2_m0_300m_c4_en,E2_m0_300m,c4_en,silu_soap,SiLU+SOAP,silu,soap_adamw,3,0,9150,300000000,5231.958209018663,735.5866216352827,4382.820808291,5674.18856114299,87.19930348364439,1.4533217247274064,0.5516916674121932,60275.96860634351
E2_m0_300m_c4_en,E2_global_rational_optimizers_300m,c4_en,rlb_soap,RLB+SOAP,rlb_fused_global_rational,soap_adamw,3,0,9150,300000000,4682.326253322884,1034.6539347615776,3819.937725044787,5829.567502259975,78.03877088871474,1.300646181478579,0.48644618795937616,69648.35523104735
E2_m0_300m_c4_en,E2_m0_300m,c4_en,silu_ademamix,SiLU+ADeMaMix,silu,ademamix,3,0,9150,300000000,5442.887823239997,686.0675009814153,4655.217593896,5910.00542734,90.71479705399994,1.5119132842333325,0.4792343325345081,69794.39236059839
E2_m0_300m_c4_en,E2_global_rational_optimizers_300m,c4_en,rlb_ademamix,RLB+ADeMaMix,rlb_fused_global_rational,ademamix,3,3,9150,300000000,287.4099592231214,55.43309712665509,233.10865819000173,343.9094561673701,4.790165987052023,0.07983609978420039,0.4338932137379711,75864.38028004717
E2_m0_300m_c4_en,E2_m0_300m,c4_en,silu_came,SiLU+CAME,silu,adafactor_came,3,0,9150,300000000,4843.904245640333,728.7397399530723,4002.6753514249995,5282.184174338001,80.73173742733889,1.3455289571223148,0.5119413390108599,65146.41697589694
E2_m0_300m_c4_en,E2_global_rational_optimizers_300m,c4_en,rlb_came,RLB+CAME,rlb_fused_global_rational,adafactor_came,3,0,9150,300000000,4818.371363888883,890.2805135156547,4037.078903491609,5787.624508357025,80.30618939814805,1.3384364899691341,0.5010623506276417,66953.9940602295
E2_m0_300m_c4_en,E2_m0_300m,c4_en,silu_schedulefree,SiLU+ScheduleFree,silu,schedule_free_adamw,3,0,9150,300000000,4575.682110507668,743.0500907593621,3718.737810943001,5041.0092187109985,76.26136850846113,1.2710228084743522,0.4827358374316023,69317.15641431887
E2_m0_300m_c4_en,E2_global_rational_optimizers_300m,c4_en,rlb_schedulefree,RLB+ScheduleFree,rlb_fused_global_rational,schedule_free_adamw,3,0,9150,300000000,3962.062082419017,324.61996836970405,3769.6912936950102,4336.8569410829805,66.03436804031695,1.100572800671949,0.4083408137392047,80613.75813030082
